Id,Description,Type,# of values,Notes
PID,Parcel identification number  - can be used with city web site for parcel review. ,Categorical,,
MSSubClass,Identifies the type of dwelling involved in the sale.,Categorical,16,
MSZoning,Identifies the general zoning classification of the sale.,Categorical,8,
LotFrontage,Linear feet of street connected to property,Continous,,
LotArea,Lot size in square feet,Continous,,
Street,Type of road access to property,Categorical,2,
Alley,Type of alley access to property,Categorical,3,
LotShape,General shape of property,Ordinal,4,
LandContour,Flatness of the property,Categorical,4,
Utilities,Type of utilities available,Categorical,4,
LotConfig,Lot configuration,Categorical,5,
LandSlope,Slope of property,Categorical,3,
Neighborhood,Physical locations within Ames city limits (map available),Categorical,28,
Condition1,Proximity to various conditions,Categorical,9,
Condition2,Proximity to various conditions (if more than one is present),Categorical,9,
BldgType,Type of dwelling,Categorical,5,
HouseStyle,Style of dwelling,Categorical,8,
OverallQual,Rates the overall material and finish of the house,Ordinal,10,Subjective rating
OverallCond,Rates the overall condition of the house,Ordinal,10,Subjective rating
YearBuilt,Original construction date,Discrete,,
YearRemodAdd,Remodel date (same as construction date if no remodeling or additions),Discrete,,
RoofStyle,Type of roof,Categorical,6,
RoofMatl,Roof material,Categorical,8,
Exterior1st,Exterior covering on house,Categorical,17,
Exterior2nd,Exterior covering on house (if more than one material),Categorical,17,
MasVnrType,Masonry veneer type,Categorical,5,
MasVnrArea,Masonry veneer area in square feet,Continous,,
ExterQual,Evaluates the quality of the material on the exterior,Ordinal,5,Subjective rating
ExterCond,Evaluates the present condition of the material on the exterior,Ordinal,5,subjective rating
Foundation,Type of foundation,Categorical,6,
BsmtQual,Evaluates the height of the basement,Ordinal,6,
BsmtCond,Evaluates the general condition of the basement,Categorical,6,Subjective rating
BsmtExposure,Refers to walkout or garden level walls,Ordinal,5,
BsmtFinType1,Rating of basement finished area,Ordinal,7,Subjective rating
BsmtFinSF1,Type 1 finished square feet,Continous,,
BsmtFinType2,Rating of basement finished area (if multiple types),Ordinal,,
BsmtFinSF2,Type 2 finished square feet,Continous,,
BsmtUnfSF,Unfinished square feet of basement area,Continous,,
TotalBsmtSF,Total square feet of basement area,Continous,,
Heating,Type of heating,Categorical,6,
HeatingQC,Heating quality and condition,Ordinal,5,Subjective rating
CentralAir,Central air conditioning,Categorical,2,
Electrical,Electrical system,Ordinal,5,
1stFlrSF,First Floor square feet,Continous,,
2ndFlrSF,Second floor square feet,Continous,,
LowQualFinSF,Low quality finished square feet (all floors),Continous,,
GrLivArea,Above grade (ground) living area square feet,Continous,,
BsmtFullBath,Basement full bathrooms,Discrete,,
BsmtHalfBath,Basement half bathrooms,Discrete,,
FullBath,Full bathrooms above grade,Discrete,,
HalfBath,Half baths above grade,Discrete,,
BedroomAbvGr,Bedrooms above grade (does NOT include basement bedrooms),Discrete,,
KitchenAbvGr,Kitchens above grade,Discrete,,
KitchenQual,Kitchen quality,Ordinal,5,Subjective rating
TotRmsAbvGrd,Total rooms above grade (does not include bathrooms),Discrete,,
Functional,Home functionality (Assume typical unless deductions are warranted),Categorical,7,
Fireplaces,Number of fireplaces,Discrete,,
FireplaceQu,Fireplace quality,Ordinal,6,subjective rating
GarageType,Garage location,Categorical,7,
GarageYrBlt,Year garage was built,Discrete,,
GarageFinish,Interior finish of the garage,Ordinal,4,
GarageCars,Size of garage in car capacity,Discrete,,
GarageArea,Size of garage in square feet,Continous,,
GarageQual,Garage quality,Ordinal,6,
GarageCond,Garage condition,Ordinal,6,
PavedDrive,Paved driveway,Ordinal,3,
WoodDeckSF,Wood deck area in square feet,Continous,,
OpenPorchSF,Open porch area in square feet,Continous,,
EnclosedPorch,Enclosed porch area in square feet,Continous,,
3SsnPorch,Three season porch area in square feet,Continous,,
ScreenPorch,Screen porch area in square feet,Continous,,
PoolArea,Pool area in square feet,Continous,,
PoolQC,Pool quality,Ordinal,5,
Fence,Fence quality,Ordinal,5,
MiscFeature,Miscellaneous feature not covered in other categories,Categorical,7,
MiscVal,$Value of miscellaneous feature,Continous,,
MoSold,Month Sold (MM),Discrete,,
YrSold, Year Sold (YYYY),Discrete,,
SaleType,Type of sale,Categorical,10,
SaleCondition,Condition of sale,Categorical,6,
SalePrice,Sale price $$,continous,,